,label
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
